,open_time,,open,close,highest,lowest,volume,amount,market_name,,
0,1585267200,2020/3/27,0.00999,0.009,0.04,0.009,1388,47.1341,BTS_BTC,,
1,1585353600,2020/3/28,0.00899,0.0095,0.06,0.00899,789,8.378261,BTS_BTC,,
2,1585440000,2020/3/29,0.058,0.007,0.061,0.007,2778,24.81659125,BTS_BTC,,
3,1585526400,2020/3/30,0.0065,0.0051,0.02,0.0051,3606,21.78628,BTS_BTC,,
4,1585612800,2020/3/31,0.0051,0.003,0.0051,0.003,46,0.16408,BTS_BTC,,
5,1585699200,2020/4/1,0.007,0.009,0.009,0.00699999,988,6.91799999,BTS_BTC,,
6,1585785600,2020/4/2,0.009,0.009,0.009,0.009,0,0,BTS_BTC,,
7,1585872000,2020/4/3,0.0065,0.00039699,0.0065,0.00002558,10321,31.23410958,BTS_BTC,,
8,1585958400,2020/4/4,0.00039699,0.00011994,0.00039699,0.000053,417405,22.14003002,BTS_BTC,,
9,1586044800,2020/4/5,0.00006,0.0000389,0.00009959,0.0000389,308,0.01649265,BTS_BTC,,
10,1586131200,2020/4/6,0.000025,0.000098,0.000098,0.000025,2205914,55.147996,BTS_BTC,,
11,1586217600,2020/4/7,0.00003001,0.00003,0.00003001,0.00003,24,0.00072011,BTS_BTC,,
12,1586304000,2020/4/8,0.00003,0.00005995,0.00005995,0.00002,2008975,40.18055317,BTS_BTC,,
13,1586390400,2020/4/9,0.00002001,0.00002204,0.000027,0.00002,7508051,202.6566478,BTS_BTC,,
14,1586476800,2020/4/10,0.00002204,0.00002204,0.00002204,0.00002204,0,0,BTS_BTC,,
15,1586563200,2020/4/11,0.00002204,0.00002204,0.00002204,0.00002204,0,0,BTS_BTC,,
16,1586649600,2020/4/12,0.00002204,0.00002204,0.00002204,0.00002204,0,0,BTS_BTC,,
17,1586736000,2020/4/13,0.00002204,0.00002204,0.00002204,0.00002204,0,0,BTS_BTC,,
18,1586822400,2020/4/14,0.000023,0.00002,0.000023,0.00002,625082,12.5102905,BTS_BTC,,
19,1586908800,2020/4/15,0.000023,0.000023,0.000023,0.000023,1007766,23.178618,BTS_BTC,,
20,1586995200,2020/4/16,0.000023,0.00000112,0.000023,0.00000112,3238086,3.79178167,BTS_BTC,,
21,1587081600,2020/4/17,0.000023,0.000023,0.000023,0.000023,200,0.0046,BTS_BTC,,
22,1587168000,2020/4/18,0.0000022,0.0000022,0.0000022,0.0000022,5000770,11.001694,BTS_BTC,,
23,1587254400,2020/4/19,0.0000022,0.0000022,0.0000022,0.0000022,0,0,BTS_BTC,,
24,1587340800,2020/4/20,0.000023,0.000023,0.000023,0.000023,100,0.0023,BTS_BTC,,
25,1587427200,2020/4/21,0.000023,0.000023,0.000023,0.000023,100,0.0023,BTS_BTC,,
26,1587513600,2020/4/22,0.000023,0.000023,0.000023,0.000023,200,0.0046,BTS_BTC,,
27,1587600000,2020/4/23,0.000023,0.000023,0.000023,0.000023,100,0.0023,BTS_BTC,,
28,1587686400,2020/4/24,0.0000025,0.00001698,0.00001698,0.0000025,13031641,32.58118239,BTS_BTC,,
29,1587772800,2020/4/25,0.00001698,0.00001698,0.00001698,0.00001698,0,0,BTS_BTC,,
30,1587859200,2020/4/26,0.00001698,0.00001698,0.00001698,0.00001698,0,0,BTS_BTC,,
31,1587945600,2020/4/27,0.00000999,0.00000999,0.00000999,0.00000999,100,0.000999,BTS_BTC,,
32,1588032000,2020/4/28,0.00000301,0.00000221,0.00001992,0.00000221,9048344,23.15653085,BTS_BTC,,
33,1588118400,2020/4/29,0.00000647,0.00000647,0.00000647,0.00000647,100,0.000647,BTS_BTC,,
34,1588204800,2020/4/30,0.0000067,0.0000067,0.0000067,0.0000067,100,0.00067,BTS_BTC,,
35,1588291200,2020/5/1,0.0000067,0.0000067,0.0000067,0.0000067,0,0,BTS_BTC,,
36,1588377600,2020/5/2,0.0000067,0.0000067,0.0000067,0.0000067,0,0,BTS_BTC,,
37,1588464000,2020/5/3,0.0000067,0.0000067,0.0000067,0.0000067,0,0,BTS_BTC,,
38,1588550400,2020/5/4,0.00000535,0.00000535,0.00000535,0.00000535,100,0.000535,BTS_BTC,,
39,1588636800,2020/5/5,0.00000477,0.00000477,0.00000477,0.00000477,100,0.000477,BTS_BTC,,
40,1588723200,2020/5/6,0.00000378,0.00000378,0.00000378,0.00000378,100,0.000378,BTS_BTC,,
41,1588809600,2020/5/7,0.00000378,0.00000378,0.00000378,0.00000378,0,0,BTS_BTC,,
42,1588896000,2020/5/8,0.00000319,0.00000319,0.00000319,0.00000319,100,0.000319,BTS_BTC,,
43,1588982400,2020/5/9,0.00000249,0.0000025,0.0000025,0.00000249,190,0.0004735,BTS_BTC,,
44,1589068800,2020/5/10,0.0000025,0.0000025,0.0000025,0.0000025,0,0,BTS_BTC,,
45,1589155200,2020/5/11,0.0000025,0.0000025,0.0000025,0.0000025,0,0,BTS_BTC,,
46,1589241600,2020/5/12,0.00000333,0.0000038,0.0000038,0.00000332,6038044,20.10684941,BTS_BTC,,
47,1589328000,2020/5/13,0.0000038,0.0000038,0.0000038,0.0000038,0,0,BTS_BTC,,
48,1589414400,2020/5/14,0.00000379,0.0000022,0.00000379,0.0000022,7032587,21.09577354,BTS_BTC,,
49,1589500800,2020/5/15,0.0000022,0.0000022,0.0000022,0.0000022,0,0,BTS_BTC,,
50,1589587200,2020/5/16,0.00000367,0.00000367,0.00000367,0.00000367,100,0.000367,BTS_BTC,,
51,1589673600,2020/5/17,0.00000367,0.00000367,0.00000367,0.00000367,0,0,BTS_BTC,,
52,1589760000,2020/5/18,0.00000368,0.00000368,0.00000368,0.00000368,100,0.000368,BTS_BTC,,
53,1589846400,2020/5/19,0.00000332,0.00000332,0.00000332,0.00000332,100,0.000332,BTS_BTC,,
54,1589932800,2020/5/20,0.00000348,0.00000343,0.00000348,0.00000343,185,0.00063955,BTS_BTC,,
55,1590019200,2020/5/21,0.00000343,0.00000343,0.00000343,0.00000343,0,0,BTS_BTC,,
56,1590105600,2020/5/22,0.00000341,0.00000338,0.00000341,0.00000338,300,0.00102,BTS_BTC,,
57,1590192000,2020/5/23,0.00000338,0.00000338,0.00000338,0.00000338,0,0,BTS_BTC,,
58,1590278400,2020/5/24,0.00000338,0.00000338,0.00000338,0.00000338,0,0,BTS_BTC,,
59,1590364800,2020/5/25,0.00000338,0.00000338,0.00000338,0.00000338,0,0,BTS_BTC,,
60,1590451200,2020/5/26,0.00000362,0.00000362,0.00000362,0.00000362,100,0.000362,BTS_BTC,,
61,1590537600,2020/5/27,0.00000332,0.00000332,0.00000332,0.00000332,100,0.000332,BTS_BTC,,
62,1590624000,2020/5/28,0.00000332,0.00000332,0.00000332,0.00000332,0,0,BTS_BTC,,
63,1590710400,2020/5/29,0.00000332,0.00000332,0.00000332,0.00000332,0,0,BTS_BTC,,
64,1590796800,2020/5/30,0.00000332,0.00000332,0.00000332,0.00000332,0,0,BTS_BTC,,
65,1590883200,2020/5/31,0.00000346,0.00000346,0.00000346,0.00000346,100,0.000346,BTS_BTC,,
66,1590969600,2020/6/1,0.00000352,0.00000352,0.00000352,0.00000352,100,0.000352,BTS_BTC,,
67,1591056000,2020/6/2,0.00000332,0.00000332,0.00000332,0.00000332,100,0.000332,BTS_BTC,,
68,1591142400,2020/6/3,0.00000348,0.00000348,0.00000348,0.00000348,100,0.000348,BTS_BTC,,
69,1591228800,2020/6/4,0.00000221,0.0000036,0.0000036,0.00000221,5030828,11.11826888,BTS_BTC,,
70,1591315200,2020/6/5,0.00000222,0.00000308,0.00000308,0.00000222,1248,0.00285656,BTS_BTC,,
71,1591401600,2020/6/6,0.00000308,0.00000308,0.00000308,0.00000308,0,0,BTS_BTC,,
72,1591488000,2020/6/7,0.00000308,0.00000308,0.00000308,0.00000308,0,0,BTS_BTC,,
73,1591574400,2020/6/8,0.00000308,0.00000308,0.00000308,0.00000308,0,0,BTS_BTC,,
74,1591660800,2020/6/9,0.00000298,0.00000298,0.00000298,0.00000298,100,0.000298,BTS_BTC,,
75,1591747200,2020/6/10,0.00000298,0.00000298,0.00000298,0.00000298,0,0,BTS_BTC,,
76,1591833600,2020/6/11,0.00000298,0.00000298,0.00000298,0.00000298,0,0,BTS_BTC,,
77,1591920000,2020/6/12,0.00000298,0.00000298,0.00000298,0.00000298,0,0,BTS_BTC,,
78,1592006400,2020/6/13,0.00000298,0.00000298,0.00000298,0.00000298,0,0,BTS_BTC,,
79,1592092800,2020/6/14,0.00000298,0.00000298,0.00000298,0.00000298,0,0,BTS_BTC,,
80,1592179200,2020/6/15,0.00000298,0.00000298,0.00000298,0.00000298,0,0,BTS_BTC,,
81,1592265600,2020/6/16,0.00000305,0.00000305,0.00000305,0.00000305,100,0.000305,BTS_BTC,,
82,1592352000,2020/6/17,0.00000305,0.00000305,0.00000305,0.00000305,0,0,BTS_BTC,,
83,1592438400,2020/6/18,0.00000305,0.00000305,0.00000305,0.00000305,0,0,BTS_BTC,,
84,1592524800,2020/6/19,0.00000221,0.00000221,0.00000221,0.00000221,74,0.00016354,BTS_BTC,,
85,1592611200,2020/6/20,0.00000221,0.00000221,0.00000221,0.00000221,0,0,BTS_BTC,,
86,1592697600,2020/6/21,0.00000221,0.00000221,0.00000221,0.00000221,0,0,BTS_BTC,,
87,1592784000,2020/6/22,0.00000221,0.00000221,0.00000221,0.00000221,0,0,BTS_BTC,,
88,1592870400,2020/6/23,0.00000222,0.00000223,0.00000223,0.00000222,1215,0.00270871,BTS_BTC,,
89,1592956800,2020/6/24,0.00000223,0.00000223,0.00000223,0.00000223,0,0,BTS_BTC,,
90,1593043200,2020/6/25,0.00000223,0.00000223,0.00000223,0.00000223,0,0,BTS_BTC,9251.98,0.020631915
91,1593129600,2020/6/26,0.00000223,0.00000223,0.00000223,0.00000223,0,0,BTS_BTC,,
92,1593216000,2020/6/27,0.00000223,0.00000223,0.00000223,0.00000223,0,0,BTS_BTC,,
93,1593302400,2020/6/28,0.00000223,0.00000223,0.00000223,0.00000223,0,0,BTS_BTC,,
94,1593388800,2020/6/29,0.00000223,0.00000223,0.00000223,0.00000223,0,0,BTS_BTC,,
95,1593475200,2020/6/30,0.00000223,0.00000223,0.00000223,0.00000223,0,0,BTS_BTC,,
96,1593561600,2020/7/1,0.00001,1.00E-08,0.00001,1.00E-08,300100,0.004,BTS_BTC,,
97,1593648000,2020/7/2,0.00000177,0.00000176,0.00000177,0.00000176,324,0.00057104,BTS_BTC,,
98,1593734400,2020/7/3,0.00000176,0.00000176,0.00000176,0.00000176,0,0,BTS_BTC,,
99,1593820800,2020/7/4,0.00000176,0.00000176,0.00000176,0.00000176,0,0,BTS_BTC,,
100,1593907200,2020/7/5,0.00000176,0.00000176,0.00000176,0.00000176,0,0,BTS_BTC,,
101,1593993600,2020/7/6,0.00000176,0.00000176,0.00000176,0.00000176,0,0,BTS_BTC,,
102,1594080000,2020/7/7,0.00000176,0.00000176,0.00000176,0.00000176,0,0,BTS_BTC,,