,time,,open,close,high,low,volume,market_name
0,1.56332E+12,2019/7/17,6.00E-06,5.11E-06,6.89E-06,4.30E-06,11795197.62,UOSBTC
1,1.56341E+12,2019/7/18,5.11E-06,3.71E-06,5.30E-06,3.50E-06,2730751.321,UOSBTC
2,1.56349E+12,2019/7/19,3.71E-06,3.56E-06,4.19E-06,3.03E-06,1386128.242,UOSBTC
3,1.56358E+12,2019/7/20,3.57E-06,3.60E-06,3.70E-06,3.08E-06,413543.2656,UOSBTC
4,1.56367E+12,2019/7/21,3.30E-06,3.15E-06,3.64E-06,3.09E-06,816658.689,UOSBTC
5,1.56375E+12,2019/7/22,3.09E-06,3.10E-06,3.19E-06,2.50E-06,1871755.407,UOSBTC
6,1.56384E+12,2019/7/23,2.85E-06,3.13E-06,3.20E-06,2.62E-06,893193.9923,UOSBTC
7,1.56393E+12,2019/7/24,2.86E-06,2.92E-06,3.11E-06,2.86E-06,147142.5913,UOSBTC
8,1.56401E+12,2019/7/25,2.92E-06,2.82E-06,3.05E-06,2.75E-06,170891.2298,UOSBTC
9,1.5641E+12,2019/7/26,2.85E-06,2.79E-06,3.01E-06,2.77E-06,176831.0119,UOSBTC
10,1.56419E+12,2019/7/27,2.79E-06,2.90E-06,2.99E-06,2.67E-06,298044.8001,UOSBTC
11,1.56427E+12,2019/7/28,2.90E-06,3.27E-06,3.50E-06,2.81E-06,557713.7507,UOSBTC
12,1.56436E+12,2019/7/29,3.47E-06,4.25E-06,4.63E-06,3.47E-06,1545629.974,UOSBTC
13,1.56444E+12,2019/7/30,4.19E-06,4.31E-06,4.58E-06,4.16E-06,1137968.36,UOSBTC
14,1.56453E+12,2019/7/31,4.41E-06,3.87E-06,4.49E-06,3.80E-06,760741.012,UOSBTC
15,1.56462E+12,2019/8/1,4.02E-06,3.81E-06,4.70E-06,3.67E-06,919183.7361,UOSBTC
16,1.5647E+12,2019/8/2,4.20E-06,3.99E-06,4.45E-06,3.92E-06,508870.4652,UOSBTC
17,1.56479E+12,2019/8/3,3.99E-06,3.75E-06,4.23E-06,3.50E-06,501062.3817,UOSBTC
18,1.56488E+12,2019/8/4,3.61E-06,3.78E-06,3.78E-06,3.42E-06,166877.7715,UOSBTC
19,1.56496E+12,2019/8/5,3.50E-06,2.90E-06,3.55E-06,2.89E-06,157051.2353,UOSBTC
20,1.56505E+12,2019/8/6,2.94E-06,2.95E-06,3.01E-06,2.78E-06,289341.4903,UOSBTC
21,1.56514E+12,2019/8/7,2.81E-06,2.70E-06,2.93E-06,2.70E-06,144618.7659,UOSBTC
22,1.56522E+12,2019/8/8,2.70E-06,2.57E-06,2.99E-06,2.54E-06,376558.7516,UOSBTC
23,1.56531E+12,2019/8/9,2.66E-06,2.58E-06,2.79E-06,2.55E-06,153884.2003,UOSBTC
24,1.5654E+12,2019/8/10,2.60E-06,2.81E-06,2.81E-06,2.54E-06,102291.7207,UOSBTC
25,1.56548E+12,2019/8/11,2.67E-06,2.56E-06,2.80E-06,2.54E-06,98193.83024,UOSBTC
26,1.56557E+12,2019/8/12,2.57E-06,2.52E-06,2.70E-06,2.50E-06,153973.3705,UOSBTC
27,1.56565E+12,2019/8/13,2.53E-06,2.70E-06,3.55E-06,2.50E-06,307993.3937,UOSBTC
28,1.56574E+12,2019/8/14,2.70E-06,2.72E-06,2.80E-06,2.52E-06,273426.6694,UOSBTC
29,1.56583E+12,2019/8/15,2.73E-06,2.51E-06,2.76E-06,2.51E-06,214018.2534,UOSBTC
30,1.56591E+12,2019/8/16,2.51E-06,2.40E-06,2.64E-06,2.40E-06,249120.5801,UOSBTC
31,1.566E+12,2019/8/17,2.42E-06,2.57E-06,2.57E-06,2.17E-06,141821.297,UOSBTC
32,1.56609E+12,2019/8/18,2.49E-06,2.31E-06,2.49E-06,2.20E-06,229486.5586,UOSBTC
33,1.56617E+12,2019/8/19,2.29E-06,2.02E-06,2.42E-06,2.00E-06,627316.0009,UOSBTC
34,1.56626E+12,2019/8/20,2.13E-06,2.05E-06,2.15E-06,2.05E-06,56789.0623,UOSBTC
35,1.56635E+12,2019/8/21,2.08E-06,2.25E-06,2.36E-06,2.02E-06,431676.1589,UOSBTC
36,1.56643E+12,2019/8/22,2.12E-06,2.31E-06,2.31E-06,2.01E-06,35132.32534,UOSBTC
37,1.56652E+12,2019/8/23,2.20E-06,2.14E-06,2.24E-06,2.12E-06,45561.89365,UOSBTC
38,1.5666E+12,2019/8/24,2.15E-06,2.25E-06,2.43E-06,2.15E-06,160776.7902,UOSBTC
39,1.56669E+12,2019/8/25,2.20E-06,2.42E-06,2.42E-06,2.20E-06,32172.47376,UOSBTC
40,1.56678E+12,2019/8/26,2.42E-06,2.18E-06,2.43E-06,2.14E-06,88171.75669,UOSBTC
41,1.56686E+12,2019/8/27,2.20E-06,2.30E-06,2.30E-06,2.20E-06,90268.34075,UOSBTC
42,1.56695E+12,2019/8/28,2.22E-06,2.35E-06,2.39E-06,2.02E-06,169729.7161,UOSBTC
43,1.56704E+12,2019/8/29,2.32E-06,2.17E-06,2.35E-06,2.13E-06,93616.65412,UOSBTC
44,1.56712E+12,2019/8/30,2.34E-06,2.36E-06,2.36E-06,2.15E-06,117462.1426,UOSBTC
45,1.56721E+12,2019/8/31,2.35E-06,2.36E-06,2.36E-06,2.35E-06,39208.363,UOSBTC
46,1.5673E+12,2019/9/1,2.23E-06,2.31E-06,2.36E-06,2.04E-06,250715.8755,UOSBTC
47,1.56738E+12,2019/9/2,2.17E-06,2.14E-06,2.17E-06,2.00E-06,240498.0686,UOSBTC
48,1.56747E+12,2019/9/3,2.03E-06,3.20E-06,3.20E-06,2.02E-06,632060.0445,UOSBTC
49,1.56756E+12,2019/9/4,3.09E-06,2.83E-06,3.20E-06,2.60E-06,531775.8667,UOSBTC
50,1.56764E+12,2019/9/5,2.83E-06,2.99E-06,3.00E-06,2.62E-06,294790.7529,UOSBTC
51,1.56773E+12,2019/9/6,2.98E-06,3.14E-06,3.20E-06,2.79E-06,840094.8138,UOSBTC
52,1.56781E+12,2019/9/7,3.16E-06,2.97E-06,3.17E-06,2.92E-06,101584.2036,UOSBTC
53,1.5679E+12,2019/9/8,2.88E-06,2.86E-06,3.09E-06,2.86E-06,110452.0617,UOSBTC
54,1.56799E+12,2019/9/9,2.99E-06,3.01E-06,3.12E-06,2.87E-06,195156.958,UOSBTC
55,1.56807E+12,2019/9/10,3.02E-06,3.07E-06,3.16E-06,2.87E-06,116356.639,UOSBTC
56,1.56816E+12,2019/9/11,2.99E-06,2.90E-06,3.16E-06,2.78E-06,319029.6166,UOSBTC
57,1.56825E+12,2019/9/12,2.97E-06,3.17E-06,3.19E-06,2.78E-06,248184.8025,UOSBTC
58,1.56833E+12,2019/9/13,3.18E-06,3.17E-06,3.23E-06,3.17E-06,178908.3151,UOSBTC
59,1.56842E+12,2019/9/14,3.15E-06,3.12E-06,3.22E-06,3.04E-06,269490.6335,UOSBTC
60,1.56851E+12,2019/9/15,3.12E-06,2.77E-06,3.21E-06,2.77E-06,287961.1072,UOSBTC
61,1.56859E+12,2019/9/16,2.77E-06,2.74E-06,2.89E-06,2.38E-06,265326.2626,UOSBTC
62,1.56868E+12,2019/9/17,2.73E-06,2.41E-06,2.85E-06,2.31E-06,206292.0246,UOSBTC
63,1.56876E+12,2019/9/18,2.37E-06,2.45E-06,2.53E-06,2.31E-06,189671.9453,UOSBTC
64,1.56885E+12,2019/9/19,2.47E-06,2.51E-06,2.92E-06,2.47E-06,543530.5234,UOSBTC
65,1.56894E+12,2019/9/20,2.58E-06,2.70E-06,2.82E-06,2.52E-06,213155.1142,UOSBTC
66,1.56902E+12,2019/9/21,2.69E-06,2.70E-06,2.79E-06,2.68E-06,174078.9868,UOSBTC
67,1.56911E+12,2019/9/22,2.71E-06,2.67E-06,2.84E-06,2.60E-06,136773.3205,UOSBTC
68,1.5692E+12,2019/9/23,2.67E-06,2.55E-06,2.84E-06,2.53E-06,43171.49537,UOSBTC
69,1.56928E+12,2019/9/24,2.55E-06,2.60E-06,2.90E-06,2.49E-06,446894.6167,UOSBTC
70,1.56937E+12,2019/9/25,2.59E-06,2.63E-06,2.71E-06,2.53E-06,145509.1398,UOSBTC
71,1.56946E+12,2019/9/26,2.65E-06,2.78E-06,2.90E-06,2.58E-06,163371.7468,UOSBTC
72,1.56954E+12,2019/9/27,2.78E-06,2.89E-06,2.90E-06,2.51E-06,95746.9483,UOSBTC
73,1.56963E+12,2019/9/28,2.86E-06,2.80E-06,2.91E-06,2.55E-06,175374.4211,UOSBTC
74,1.56972E+12,2019/9/29,2.71E-06,2.84E-06,2.92E-06,2.63E-06,87436.94956,UOSBTC
75,1.5698E+12,2019/9/30,2.91E-06,2.71E-06,2.92E-06,2.45E-06,883628.6506,UOSBTC
76,1.56989E+12,2019/10/1,2.62E-06,3.00E-06,3.00E-06,2.50E-06,259788.1369,UOSBTC
77,1.56997E+12,2019/10/2,2.80E-06,3.07E-06,3.09E-06,2.77E-06,151792.6653,UOSBTC
78,1.57006E+12,2019/10/3,3.00E-06,3.03E-06,3.08E-06,2.80E-06,174038.8674,UOSBTC
79,1.57015E+12,2019/10/4,3.03E-06,2.87E-06,3.08E-06,2.87E-06,122916.0504,UOSBTC
80,1.57023E+12,2019/10/5,2.94E-06,3.00E-06,3.02E-06,2.87E-06,9430.242901,UOSBTC
81,1.57032E+12,2019/10/6,2.99E-06,2.92E-06,3.06E-06,2.90E-06,68892.53139,UOSBTC
82,1.57041E+12,2019/10/7,2.99E-06,2.86E-06,3.03E-06,2.86E-06,187665.7441,UOSBTC
83,1.57049E+12,2019/10/8,2.92E-06,3.01E-06,3.08E-06,2.91E-06,107945.9882,UOSBTC
84,1.57058E+12,2019/10/9,3.02E-06,3.28E-06,3.28E-06,2.87E-06,658780.8439,UOSBTC
85,1.57067E+12,2019/10/10,3.21E-06,3.46E-06,3.73E-06,3.07E-06,354424.8936,UOSBTC
86,1.57075E+12,2019/10/11,3.44E-06,3.52E-06,3.70E-06,3.41E-06,99463.93257,UOSBTC
87,1.57084E+12,2019/10/12,3.57E-06,3.87E-06,4.10E-06,3.43E-06,733625.4861,UOSBTC
88,1.57092E+12,2019/10/13,3.84E-06,3.76E-06,4.25E-06,3.61E-06,627065.3445,UOSBTC
89,1.57101E+12,2019/10/14,3.68E-06,3.75E-06,3.88E-06,3.50E-06,586482.1073,UOSBTC
90,1.5711E+12,2019/10/15,3.68E-06,3.71E-06,4.01E-06,3.68E-06,373782.2821,UOSBTC
91,1.57118E+12,2019/10/16,3.73E-06,3.21E-06,3.98E-06,3.09E-06,694305.0558,UOSBTC
92,1.57127E+12,2019/10/17,3.18E-06,3.40E-06,3.40E-06,3.10E-06,256009.3022,UOSBTC
93,1.57136E+12,2019/10/18,3.46E-06,3.45E-06,3.59E-06,3.40E-06,2190733.473,UOSBTC
94,1.57144E+12,2019/10/19,3.50E-06,3.57E-06,3.60E-06,3.50E-06,78827.8074,UOSBTC
95,1.57153E+12,2019/10/20,3.60E-06,3.50E-06,3.64E-06,3.37E-06,407045.6754,UOSBTC
96,1.57162E+12,2019/10/21,3.55E-06,3.69E-06,3.69E-06,3.49E-06,343419.4156,UOSBTC
97,1.5717E+12,2019/10/22,3.70E-06,3.96E-06,3.96E-06,3.56E-06,344626.1472,UOSBTC
98,1.57179E+12,2019/10/23,3.70E-06,3.86E-06,3.90E-06,3.44E-06,445694.8754,UOSBTC
99,1.57188E+12,2019/10/24,3.83E-06,3.88E-06,3.97E-06,3.68E-06,223518.7525,UOSBTC
100,1.57196E+12,2019/10/25,3.88E-06,3.59E-06,3.96E-06,3.55E-06,274928.8884,UOSBTC
101,1.57205E+12,2019/10/26,3.65E-06,3.73E-06,3.96E-06,3.40E-06,715402.7594,UOSBTC
102,1.57213E+12,2019/10/27,3.64E-06,3.47E-06,3.76E-06,3.36E-06,246698.8226,UOSBTC
103,1.57222E+12,2019/10/28,3.44E-06,3.59E-06,3.60E-06,3.17E-06,185578.4097,UOSBTC
104,1.57231E+12,2019/10/29,3.36E-06,3.39E-06,3.57E-06,3.16E-06,178844.9359,UOSBTC
105,1.57239E+12,2019/10/30,3.42E-06,3.21E-06,3.51E-06,3.19E-06,333362.8636,UOSBTC
106,1.57248E+12,2019/10/31,3.28E-06,3.35E-06,3.44E-06,3.10E-06,625994.5287,UOSBTC
107,1.57257E+12,2019/11/1,3.35E-06,3.10E-06,3.39E-06,3.10E-06,145556.4993,UOSBTC
108,1.57265E+12,2019/11/2,3.14E-06,3.11E-06,3.21E-06,3.01E-06,197281.7884,UOSBTC
109,1.57274E+12,2019/11/3,3.12E-06,3.10E-06,3.17E-06,2.98E-06,113687.2403,UOSBTC
110,1.57283E+12,2019/11/4,3.10E-06,2.84E-06,3.19E-06,2.81E-06,291193.0992,UOSBTC
111,1.57291E+12,2019/11/5,3.09E-06,2.96E-06,3.11E-06,2.80E-06,210086.6438,UOSBTC
112,1.573E+12,2019/11/6,2.89E-06,2.95E-06,2.97E-06,2.80E-06,44577.351,UOSBTC
113,1.57308E+12,2019/11/7,2.89E-06,3.73E-06,3.87E-06,2.88E-06,977166.7592,UOSBTC
114,1.57317E+12,2019/11/8,3.69E-06,3.37E-06,3.82E-06,3.29E-06,120815.9328,UOSBTC
115,1.57326E+12,2019/11/9,3.39E-06,3.48E-06,3.58E-06,3.33E-06,236395.0413,UOSBTC
116,1.57334E+12,2019/11/10,3.50E-06,3.49E-06,3.59E-06,3.46E-06,249595.1677,UOSBTC
117,1.57343E+12,2019/11/11,3.49E-06,4.17E-06,4.17E-06,3.46E-06,809009.8666,UOSBTC
118,1.57352E+12,2019/11/12,4.15E-06,4.26E-06,4.38E-06,3.82E-06,675224.1505,UOSBTC
119,1.5736E+12,2019/11/13,4.25E-06,4.20E-06,4.38E-06,4.13E-06,704897.8172,UOSBTC
120,1.57369E+12,2019/11/14,4.17E-06,4.03E-06,4.40E-06,3.89E-06,835767.057,UOSBTC
121,1.57378E+12,2019/11/15,4.06E-06,4.46E-06,4.46E-06,4.00E-06,381287.8768,UOSBTC
122,1.57386E+12,2019/11/16,4.47E-06,4.10E-06,4.50E-06,4.10E-06,383136.5963,UOSBTC
123,1.57395E+12,2019/11/17,4.10E-06,4.49E-06,4.49E-06,3.97E-06,370326.3367,UOSBTC
124,1.57404E+12,2019/11/18,4.50E-06,5.05E-06,5.05E-06,4.50E-06,1111851.851,UOSBTC
125,1.57412E+12,2019/11/19,5.04E-06,4.73E-06,5.06E-06,4.61E-06,1079859.518,UOSBTC
126,1.57421E+12,2019/11/20,4.76E-06,4.63E-06,5.07E-06,4.41E-06,1102551.867,UOSBTC
127,1.57429E+12,2019/11/21,4.68E-06,4.27E-06,5.05E-06,4.23E-06,1195533.709,UOSBTC
128,1.57438E+12,2019/11/22,4.49E-06,4.15E-06,4.70E-06,4.05E-06,896440.9819,UOSBTC
129,1.57447E+12,2019/11/23,4.15E-06,3.85E-06,4.56E-06,3.84E-06,508420.4459,UOSBTC
130,1.57455E+12,2019/11/24,3.85E-06,4.41E-06,4.55E-06,3.85E-06,533173.6793,UOSBTC
131,1.57464E+12,2019/11/25,4.22E-06,3.74E-06,4.44E-06,3.58E-06,538329.2797,UOSBTC
132,1.57473E+12,2019/11/26,3.72E-06,3.39E-06,3.75E-06,3.34E-06,439749.3715,UOSBTC
133,1.57481E+12,2019/11/27,3.40E-06,3.26E-06,3.44E-06,3.21E-06,461705.7866,UOSBTC
134,1.5749E+12,2019/11/28,3.24E-06,3.50E-06,3.82E-06,3.22E-06,580456.966,UOSBTC
135,1.57499E+12,2019/11/29,3.50E-06,3.84E-06,3.84E-06,3.21E-06,669382.8763,UOSBTC
136,1.57507E+12,2019/11/30,3.58E-06,3.77E-06,4.08E-06,3.55E-06,508719.0047,UOSBTC
137,1.57516E+12,2019/12/1,3.94E-06,3.67E-06,4.08E-06,3.64E-06,322230.6689,UOSBTC
138,1.57524E+12,2019/12/2,3.77E-06,3.90E-06,4.17E-06,3.57E-06,728073.7851,UOSBTC
139,1.57533E+12,2019/12/3,4.08E-06,4.72E-06,5.00E-06,3.80E-06,769355.1831,UOSBTC
140,1.57542E+12,2019/12/4,4.75E-06,5.00E-06,5.43E-06,4.74E-06,1445276.664,UOSBTC
141,1.5755E+12,2019/12/5,5.01E-06,5.49E-06,5.49E-06,4.30E-06,808272.2696,UOSBTC
142,1.57559E+12,2019/12/6,5.48E-06,5.20E-06,5.49E-06,4.74E-06,921501.4108,UOSBTC
143,1.57568E+12,2019/12/7,5.09E-06,4.85E-06,5.20E-06,4.73E-06,135127.3776,UOSBTC
144,1.57576E+12,2019/12/8,4.75E-06,4.70E-06,4.85E-06,4.53E-06,171436.708,UOSBTC
145,1.57585E+12,2019/12/9,4.71E-06,5.19E-06,5.19E-06,4.71E-06,446325.4984,UOSBTC
146,1.57594E+12,2019/12/10,4.97E-06,5.10E-06,5.10E-06,4.83E-06,71812.49583,UOSBTC
147,1.57602E+12,2019/12/11,5.03E-06,4.76E-06,5.20E-06,4.64E-06,290277.9957,UOSBTC
148,1.57611E+12,2019/12/12,4.76E-06,5.51E-06,5.56E-06,4.66E-06,880709.1059,UOSBTC
149,1.5762E+12,2019/12/13,5.51E-06,6.91E-06,7.29E-06,5.40E-06,2820397.678,UOSBTC
150,1.57628E+12,2019/12/14,6.92E-06,6.32E-06,7.79E-06,6.24E-06,1222555.013,UOSBTC
151,1.57637E+12,2019/12/15,6.33E-06,8.03E-06,8.50E-06,6.33E-06,1518364.765,UOSBTC
152,1.57645E+12,2019/12/16,8.01E-06,7.79E-06,8.53E-06,7.73E-06,568286.2178,UOSBTC
153,1.57654E+12,2019/12/17,8.09E-06,7.82E-06,8.10E-06,7.40E-06,804614.5314,UOSBTC
154,1.57663E+12,2019/12/18,7.79E-06,8.24E-06,8.86E-06,7.73E-06,1631204.807,UOSBTC
155,1.57671E+12,2019/12/19,8.24E-06,8.15E-06,8.68E-06,7.92E-06,483186.8074,UOSBTC
156,1.5768E+12,2019/12/20,8.18E-06,7.88E-06,8.44E-06,7.71E-06,261176.1941,UOSBTC
157,1.57689E+12,2019/12/21,7.80E-06,7.11E-06,7.82E-06,7.10E-06,455965.7458,UOSBTC
158,1.57697E+12,2019/12/22,7.21E-06,6.72E-06,7.29E-06,6.50E-06,367440.0301,UOSBTC
159,1.57706E+12,2019/12/23,6.66E-06,6.50E-06,6.96E-06,6.16E-06,240003.2984,UOSBTC
160,1.57715E+12,2019/12/24,6.50E-06,6.76E-06,6.96E-06,6.50E-06,125330.9653,UOSBTC
161,1.57723E+12,2019/12/25,6.76E-06,6.70E-06,6.96E-06,6.70E-06,158153.8943,UOSBTC
162,1.57732E+12,2019/12/26,6.79E-06,6.34E-06,6.98E-06,6.22E-06,161194.0458,UOSBTC
163,1.5774E+12,2019/12/27,6.30E-06,6.46E-06,6.55E-06,6.22E-06,130605.6192,UOSBTC
164,1.57749E+12,2019/12/28,6.46E-06,6.31E-06,6.55E-06,6.22E-06,141382.3655,UOSBTC
165,1.57758E+12,2019/12/29,6.31E-06,6.30E-06,6.42E-06,6.26E-06,129562.5848,UOSBTC
166,1.57766E+12,2019/12/30,6.32E-06,6.41E-06,6.69E-06,6.25E-06,169656.1113,UOSBTC
167,1.57775E+12,2019/12/31,6.39E-06,6.31E-06,6.50E-06,6.25E-06,115411.1826,UOSBTC
168,1.57784E+12,2020/1/1,6.29E-06,6.38E-06,6.58E-06,6.22E-06,126256.2906,UOSBTC
169,1.57792E+12,2020/1/2,6.37E-06,7.00E-06,7.05E-06,6.34E-06,307641.1993,UOSBTC
170,1.57801E+12,2020/1/3,7.00E-06,6.88E-06,7.07E-06,6.53E-06,119952.5344,UOSBTC
171,1.5781E+12,2020/1/4,6.89E-06,6.85E-06,7.07E-06,6.73E-06,215113.6757,UOSBTC
