,time,,volume,close,high,low,open,market_name
0,1.58639E+12,2020/4/9,1396713964,0.001578,0.002097,0.00156,0.00195,kai-_usdt
1,1.58648E+12,2020/4/10,848057233,0.001395,0.0017,0.001165,0.001579,kai-_usdt
2,1.58656E+12,2020/4/11,126083591.3,0.00127,0.001437,0.00125,0.00143,kai-_usdt
3,1.58665E+12,2020/4/12,394038312.1,0.000989,0.00131,0.000973,0.00127,kai-_usdt
4,1.58674E+12,2020/4/13,854288967.2,0.000801,0.001009,0.000728,0.000989,kai-_usdt
5,1.58682E+12,2020/4/14,525287086.6,0.000929,0.000998,0.000786,0.000804,kai-_usdt
6,1.58691E+12,2020/4/15,303896963.4,0.000779,0.000934,0.000735,0.000929,kai-_usdt
7,1.587E+12,2020/4/16,520735761.2,0.000748,0.000813,0.000698,0.000779,kai-_usdt
8,1.58708E+12,2020/4/17,277944760.6,0.000722,0.000777,0.000714,0.000743,kai-_usdt
9,1.58717E+12,2020/4/18,70553333.91,0.000735,0.000778,0.000724,0.000735,kai-_usdt
10,1.58725E+12,2020/4/19,108052667.2,0.000672,0.000738,0.000652,0.000735,kai-_usdt
11,1.58734E+12,2020/4/20,268995500.2,0.000642,0.000737,0.000634,0.00067,kai-_usdt
12,1.58743E+12,2020/4/21,302907095.1,0.000712,0.000765,0.000634,0.00064,kai-_usdt
13,1.58751E+12,2020/4/22,320902006.1,0.000762,0.000829,0.000706,0.000712,kai-_usdt
14,1.5876E+12,2020/4/23,285865108.5,0.000744,0.000803,0.000714,0.000764,kai-_usdt
15,1.58769E+12,2020/4/24,246568533.6,0.000722,0.000761,0.000692,0.000747,kai-_usdt
16,1.58777E+12,2020/4/25,229065484.3,0.000696,0.000725,0.000675,0.000724,kai-_usdt
17,1.58786E+12,2020/4/26,224921686.8,0.00069,0.00072,0.000665,0.000695,kai-_usdt
18,1.58795E+12,2020/4/27,189611259.5,0.000677,0.000698,0.00066,0.000691,kai-_usdt
19,1.58803E+12,2020/4/28,245633008.9,0.000712,0.000749,0.000667,0.000678,kai-_usdt
20,1.58812E+12,2020/4/29,182026989,0.000724,0.00074,0.000686,0.000712,kai-_usdt
21,1.5882E+12,2020/4/30,58916179.11,0.000675,0.000716,0.000675,0.000715,kai-_usdt
22,1.58829E+12,2020/5/1,165903479.1,0.000668,0.000698,0.000651,0.000677,kai-_usdt
23,1.58838E+12,2020/5/2,174691445.5,0.000674,0.000695,0.000666,0.000666,kai-_usdt
24,1.58846E+12,2020/5/3,205537147.8,0.000673,0.00069,0.000643,0.000674,kai-_usdt
25,1.58855E+12,2020/5/4,172601311.3,0.000688,0.000698,0.000658,0.000669,kai-_usdt
26,1.58864E+12,2020/5/5,221981509.5,0.000665,0.000704,0.000601,0.00069,kai-_usdt
27,1.58872E+12,2020/5/6,175062963.7,0.000656,0.000675,0.000626,0.000668,kai-_usdt
28,1.58881E+12,2020/5/7,265479971.8,0.000601,0.000686,0.000562,0.000655,kai-_usdt
29,1.5889E+12,2020/5/8,102586696.8,0.0006,0.000629,0.000581,0.000601,kai-_usdt
30,1.58898E+12,2020/5/9,18201208.85,0.000556,0.000612,0.000556,0.000607,kai-_usdt
31,1.58907E+12,2020/5/10,34452327.59,0.00051,0.0006,0.0005,0.000571,kai-_usdt
32,1.58916E+12,2020/5/11,53959622.11,0.000445,0.000516,0.000402,0.00051,kai-_usdt
33,1.58924E+12,2020/5/12,25645219.01,0.000474,0.000479,0.00043,0.00044,kai-_usdt
34,1.58933E+12,2020/5/13,69052288.79,0.000562,0.000614,0.000451,0.000475,kai-_usdt
35,1.58941E+12,2020/5/14,143220103.6,0.0007,0.00075,0.00055,0.000575,kai-_usdt
36,1.5895E+12,2020/5/15,127236497.6,0.00086,0.000888,0.000629,0.00069,kai-_usdt
37,1.58959E+12,2020/5/16,58095031.77,0.000775,0.00086,0.00075,0.00086,kai-_usdt
38,1.58967E+12,2020/5/17,235722833.8,0.001229,0.001361,0.000737,0.000789,kai-_usdt
39,1.58976E+12,2020/5/18,234793854.5,0.001317,0.001601,0.001026,0.001229,kai-_usdt
40,1.58985E+12,2020/5/19,97643130.57,0.0014,0.001487,0.001111,0.001282,kai-_usdt
41,1.58993E+12,2020/5/20,172487688.8,0.00161,0.001698,0.001331,0.001392,kai-_usdt
42,1.59002E+12,2020/5/21,245202491.1,0.001786,0.00208,0.00142,0.001611,kai-_usdt
43,1.59011E+12,2020/5/22,129387045,0.001984,0.002086,0.001653,0.001786,kai-_usdt
44,1.59019E+12,2020/5/23,119662610.1,0.001983,0.002045,0.001833,0.001985,kai-_usdt
45,1.59028E+12,2020/5/24,160099796.2,0.00246,0.002879,0.001826,0.001967,kai-_usdt
46,1.59036E+12,2020/5/25,186857914.6,0.003676,0.003745,0.002208,0.002461,kai-_usdt
47,1.59045E+12,2020/5/26,152560096.6,0.003603,0.003745,0.002301,0.003674,kai-_usdt
48,1.59054E+12,2020/5/27,96280565.77,0.004093,0.00433,0.003062,0.003635,kai-_usdt
49,1.59062E+12,2020/5/28,97915483.08,0.004774,0.005154,0.00409,0.004096,kai-_usdt
50,1.59071E+12,2020/5/29,133250244.1,0.003804,0.00481,0.00292,0.004774,kai-_usdt
51,1.5908E+12,2020/5/30,122657332.1,0.002917,0.004053,0.002557,0.00381,kai-_usdt
52,1.59088E+12,2020/5/31,79144121.17,0.002426,0.003065,0.0022,0.002918,kai-_usdt
53,1.59097E+12,2020/6/1,97276161.24,0.00287,0.00295,0.002202,0.002382,kai-_usdt
54,1.59106E+12,2020/6/2,55265797.64,0.002536,0.003066,0.002401,0.002799,kai-_usdt
55,1.59114E+12,2020/6/3,49596464.82,0.002831,0.003,0.002565,0.002607,kai-_usdt
56,1.59123E+12,2020/6/4,34824923.74,0.0028,0.002937,0.00271,0.00285,kai-_usdt
57,1.59132E+12,2020/6/5,42370032.96,0.002441,0.00284,0.0024,0.002801,kai-_usdt
58,1.5914E+12,2020/6/6,64083624.11,0.002126,0.002516,0.002001,0.00244,kai-_usdt
59,1.59149E+12,2020/6/7,80393950.12,0.002042,0.0022,0.001813,0.002134,kai-_usdt
60,1.59157E+12,2020/6/8,48991514.02,0.002198,0.002407,0.001932,0.002046,kai-_usdt
61,1.59166E+12,2020/6/9,30286560.92,0.002459,0.002559,0.002145,0.002198,kai-_usdt
62,1.59175E+12,2020/6/10,81591288.42,0.002883,0.003233,0.002404,0.002495,kai-_usdt
63,1.59183E+12,2020/6/11,31885995.03,0.00285,0.003199,0.002762,0.002883,kai-_usdt
64,1.59192E+12,2020/6/12,44299556,0.003559,0.003691,0.002765,0.00285,kai-_usdt
65,1.59201E+12,2020/6/13,26056407.58,0.003787,0.003876,0.003441,0.003574,kai-_usdt
66,1.59209E+12,2020/6/14,51294448.27,0.003407,0.004385,0.003384,0.003787,kai-_usdt
67,1.59218E+12,2020/6/15,30690728.33,0.003612,0.003795,0.00315,0.00337,kai-_usdt
68,1.59227E+12,2020/6/16,31703705.58,0.003395,0.003635,0.003035,0.003601,kai-_usdt
69,1.59235E+12,2020/6/17,35087184.98,0.003103,0.00348,0.003015,0.003377,kai-_usdt
70,1.59244E+12,2020/6/18,19148330.87,0.00335,0.003399,0.003052,0.003141,kai-_usdt
71,1.59252E+12,2020/6/19,10153226.4,0.003368,0.003369,0.003129,0.003349,kai-_usdt
72,1.59261E+12,2020/6/20,45707019.95,0.003101,0.003368,0.002842,0.003331,kai-_usdt
73,1.5927E+12,2020/6/21,39332109.98,0.0029,0.003499,0.002837,0.003101,kai-_usdt
74,1.59278E+12,2020/6/22,26793724.31,0.002855,0.003074,0.002798,0.002909,kai-_usdt
75,1.59287E+12,2020/6/23,29320824.97,0.002575,0.002815,0.00254,0.002815,kai-_usdt
76,1.59296E+12,2020/6/24,49744531.23,0.002315,0.002657,0.0022,0.002572,kai-_usdt
77,1.59304E+12,2020/6/25,35855882.82,0.0026,0.002649,0.00219,0.002309,kai-_usdt
78,1.59313E+12,2020/6/26,13242792.3,0.002457,0.00261,0.00242,0.0026,kai-_usdt
79,1.59322E+12,2020/6/27,24571826.1,0.002369,0.002549,0.00226,0.002447,kai-_usdt
80,1.5933E+12,2020/6/28,19663903.31,0.002371,0.002496,0.00227,0.002368,kai-_usdt
81,1.59339E+12,2020/6/29,15977194.2,0.002325,0.00248,0.00226,0.002385,kai-_usdt
82,1.59348E+12,2020/6/30,49529711.27,0.0028,0.0028,0.00223,0.002269,kai-_usdt
83,1.59356E+12,2020/7/1,47600475.03,0.002951,0.0032,0.002561,0.0028,kai-_usdt
84,1.59365E+12,2020/7/2,27869443.38,0.002966,0.00322,0.0029,0.002951,kai-_usdt
85,1.59373E+12,2020/7/3,211973317.9,0.002934,0.003559,0.0026,0.002993,kai-_usdt
86,1.59382E+12,2020/7/4,41168303.86,0.003276,0.0033,0.002884,0.002934,kai-_usdt
87,1.59391E+12,2020/7/5,25125672.56,0.003259,0.003371,0.003,0.003235,kai-_usdt
88,1.59399E+12,2020/7/6,57199465.41,0.003094,0.003496,0.003,0.003283,kai-_usdt
89,1.59408E+12,2020/7/7,21582225.05,0.00302,0.00316,0.002913,0.003058,kai-_usdt